trade_date,symbol,window_id,window_start,window_end,open_price,close_price,vwap,deal_amount,data_P,data_P_source
20260709,000001.SZ,0,09:30,09:35,10.55,10.53,,97301819.0,-0.001896,trade_window
20260709,000001.SZ,1,09:35,09:40,10.53,10.51,,45976384.0,-0.001899,trade_window
20260709,000001.SZ,2,09:40,09:45,10.51,10.52,,34318404.0,0.000951,trade_window
20260709,000001.SZ,3,09:45,09:50,10.52,10.56,,28178779.68,0.003802,trade_window
20260709,000001.SZ,4,09:50,09:55,10.57,10.51,,41892880.0,-0.004735,trade_window
20260709,000001.SZ,5,09:55,10:00,10.51,10.54,,19277284.0,0.002854,trade_window
20260709,000001.SZ,6,10:00,10:05,10.55,10.53,,13428781.0,-0.000949,trade_window
20260709,000001.SZ,7,10:05,10:10,10.53,10.55,,5305228.0,0.001899,trade_window
20260709,000001.SZ,8,10:10,10:15,10.55,10.53,,12889016.94,-0.001896,trade_window
20260709,000001.SZ,9,10:15,10:20,10.54,10.53,,6797882.75,0.0,trade_window
20260709,000001.SZ,10,10:20,10:25,10.54,10.54,,12546339.0,0.00095,trade_window
20260709,000001.SZ,11,10:25,10:30,10.53,10.54,,10701504.0,0.0,trade_window
20260709,000001.SZ,12,10:30,10:35,10.54,10.52,,5247517.0,-0.001898,trade_window
20260709,000001.SZ,13,10:35,10:40,10.53,10.55,,17976584.0,0.002852,trade_window
20260709,000001.SZ,14,10:40,10:45,10.55,10.53,,7030411.0,-0.001896,trade_window
20260709,000001.SZ,15,10:45,10:50,10.53,10.55,,9305829.0,0.001899,trade_window
20260709,000001.SZ,16,10:50,10:55,10.55,10.58,,21983485.0,0.002844,trade_window
20260709,000001.SZ,17,10:55,11:00,10.57,10.55,,5784591.0,-0.002836,trade_window
20260709,000001.SZ,18,11:00,11:05,10.56,10.54,,6434686.0,-0.000948,trade_window
20260709,000001.SZ,19,11:05,11:10,10.55,10.53,,7457599.0,-0.000949,trade_window
20260709,000001.SZ,20,11:10,11:15,10.53,10.56,,10652951.0,0.002849,trade_window
20260709,000001.SZ,21,11:15,11:20,10.56,10.57,,14496356.0,0.000947,trade_window
20260709,000001.SZ,22,11:20,11:25,10.56,10.54,,7912520.0,-0.002838,trade_window
20260709,000001.SZ,23,11:25,11:30,10.54,10.55,,7599576.0,0.000949,trade_window
20260709,000001.SZ,24,13:00,13:05,10.54,10.54,,8454799.0,-0.000948,trade_window
20260709,000001.SZ,25,13:05,13:10,10.54,10.53,,7690831.0,-0.000949,trade_window
20260709,000001.SZ,26,13:10,13:15,10.54,10.53,,4432490.0,0.0,trade_window
20260709,000001.SZ,27,13:15,13:20,10.52,10.52,,9984018.0,-0.00095,trade_window
20260709,000001.SZ,28,13:20,13:25,10.51,10.51,,13633599.0,-0.000951,trade_window
20260709,000001.SZ,29,13:25,13:30,10.51,10.5,,5839362.0,-0.000951,trade_window
20260709,000001.SZ,30,13:30,13:35,10.51,10.49,,14916809.0,-0.000952,trade_window
20260709,000001.SZ,31,13:35,13:40,10.49,10.49,,12581048.0,0.0,trade_window
20260709,000001.SZ,32,13:40,13:45,10.5,10.49,,9440676.0,0.0,trade_window
20260709,000001.SZ,33,13:45,13:50,10.5,10.49,,8116786.0,0.0,trade_window
20260709,000001.SZ,34,13:50,13:55,10.49,10.5,,12287976.0,0.000953,trade_window
20260709,000001.SZ,35,13:55,14:00,10.49,10.48,,16763906.0,-0.001905,trade_window
20260709,000001.SZ,36,14:00,14:05,10.48,10.49,,9534246.0,0.000954,trade_window
20260709,000001.SZ,37,14:05,14:10,10.48,10.49,,10677922.0,0.0,trade_window
20260709,000001.SZ,38,14:10,14:15,10.48,10.47,,20960631.0,-0.001907,trade_window
20260709,000001.SZ,39,14:15,14:20,10.47,10.47,,18193130.0,0.0,trade_window
20260709,000001.SZ,40,14:20,14:25,10.47,10.47,,18972257.0,0.0,trade_window
20260709,000001.SZ,41,14:25,14:30,10.47,10.47,,15498854.0,0.0,trade_window
20260709,000001.SZ,42,14:30,14:35,10.47,10.49,,19420299.0,0.00191,trade_window
20260709,000001.SZ,43,14:35,14:40,10.49,10.5,,15195437.0,0.000953,trade_window
20260709,000001.SZ,44,14:40,14:45,10.49,10.5,,15577473.0,0.0,trade_window
20260709,000001.SZ,45,14:45,14:50,10.5,10.5,,18357486.0,0.0,trade_window
20260709,000001.SZ,46,14:50,14:55,10.5,10.49,,28685867.72,-0.000952,trade_window
20260709,000001.SZ,47,14:55,15:00,10.5,10.49,,15205772.98,0.0,trade_window
20260709,000002.SZ,0,09:30,09:35,2.98,2.99,,18987051.49,0.003356,trade_window
20260709,000002.SZ,1,09:35,09:40,2.99,2.98,,13542795.0,-0.003344,trade_window
20260709,000002.SZ,2,09:40,09:45,2.98,3.0,,11452453.0,0.006711,trade_window
20260709,000002.SZ,3,09:45,09:50,3.0,3.0,,8429091.0,0.0,trade_window
20260709,000002.SZ,4,09:50,09:55,3.01,3.0,,10669381.0,0.0,trade_window
20260709,000002.SZ,5,09:55,10:00,3.01,3.01,,15324164.0,0.003333,trade_window
20260709,000002.SZ,6,10:00,10:05,3.02,3.0,,7211087.0,-0.003322,trade_window
20260709,000002.SZ,7,10:05,10:10,3.01,3.01,,7748229.0,0.003333,trade_window
20260709,000002.SZ,8,10:10,10:15,3.01,3.0,,4403852.0,-0.003322,trade_window
20260709,000002.SZ,9,10:15,10:20,3.01,3.0,,3281492.0,0.0,trade_window
20260709,000002.SZ,10,10:20,10:25,3.0,2.99,,3325867.0,-0.003333,trade_window
20260709,000002.SZ,11,10:25,10:30,2.99,2.98,,7911736.0,-0.003344,trade_window
20260709,000002.SZ,12,10:30,10:35,2.98,2.99,,1497401.0,0.003356,trade_window
20260709,000002.SZ,13,10:35,10:40,2.99,2.99,,3162876.0,0.0,trade_window
20260709,000002.SZ,14,10:40,10:45,2.99,2.98,,5047674.0,-0.003344,trade_window
20260709,000002.SZ,15,10:45,10:50,2.98,2.98,,1316491.0,0.0,trade_window
20260709,000002.SZ,16,10:50,10:55,2.97,2.97,,2723149.0,-0.003356,trade_window
20260709,000002.SZ,17,10:55,11:00,2.97,2.96,,12954238.3,-0.003367,trade_window
20260709,000002.SZ,18,11:00,11:05,2.97,2.97,,3356279.0,0.003378,trade_window
20260709,000002.SZ,19,11:05,11:10,2.97,2.97,,2597388.0,0.0,trade_window
